ParagonNO;DataWyst;lp;NazwaTow;Symbol
PA 1506/11/2021;2021-11-06 00:00:00.000;1;Brodomir - olejek do brody i zarostu;4S40100
PA 2023/12/2021;2021-12-23 00:00:00.000;1;Brodomir - olejek do brody i zarostu;4S40100
PA 28/05/2021;2021-05-25 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 173/06/2021;2021-06-11 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 177/06/2021;2021-06-11 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 566/07/2021;2021-07-29 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 615/08/2021;2021-08-04 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 624/08/2021;2021-08-04 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 627/08/2021;2021-08-04 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 841/08/2021;2021-08-31 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 1008/09/2021;2021-09-17 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 1192/10/2021;2021-10-07 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 1448/10/2021;2021-10-30 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 1717/12/2021;2021-12-01 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 17/01/2022;2022-01-05 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 446/02/2022;2022-02-21 00:00:00.000;2;Delikatny dezodorant w kremie mandarynkowy;4S40101
PA 51/05/2021;2021-05-27 00:00:00.000;3;Dezodorant w kremie cytrusowo-ziołowy;4S40102
PA 99/06/2021;2021-06-02 00:00:00.000;3;Dezodorant w kremie cytrusowo-ziołowy;4S40102
PA 153/06/2021;2021-06-09 00:00:00.000;3;Dezodorant w kremie cytrusowo-ziołowy;4S40102